agencia,ais,area_faccao,arma,bairro,cidade,comment,consolidado,data,database,editar,excluir,hora,id,id_evento,idade,latitude,longitude,name,sexo,tipo,tipo_evento,type,version,dia_semana,eh_feriado,dia_quente_cvp,clima,precipitacao_mm,qtd_mortes,nature
2.0,6.0,,,AEROPORTO,Fortaleza,,Sim,2026-05-11,,,,20:16:59,78632,4427555.0,,-3.7489191348,-38.5568545461,RUA TAVÁRES IRACEMA,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA
2.0,7.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-11,,,,17:59:55,78631,4427552.0,,-3.8016030595,-38.5291630241,RUA ANTÔNIO FERREIRA,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA
2.0,3.0,,,ANCURI,Fortaleza,,Sim,2026-05-11,,,,16:20:23,78626,4427551.0,,-3.8304417604,-38.4851550174,RUA DIONÍSIO ALENCAR FILHO,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA
2.0,6.0,,,AMADEU FURTADO,Fortaleza,,Sim,2026-05-11,,,,15:21:21,78630,4427550.0,,-3.7274277012,-38.5743676235,AVENIDA VIA FÉRREA SOBRAL - LADO ÍMPAR,NONE,cvp,ROUBO A RESIDÊNCIA,,,Segunda-feira,False,False,,,,ROUBO A RESIDÊNCIA
2.0,1.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-11,,,,13:17:34,78625,4427549.0,,-3.7412490856,-38.5180065248,RUA JOÃO CORDEIRO,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA
2.0,7.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-11,,,,11:23:18,78629,4427548.0,,-3.7969683877,-38.5027570548,RUA JÚLIO LIMA,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA
2.0,23.0,,Outros meios,TRAIRI,Trairi,,Sim,2026-05-11,,,,10:00:00,78521,4427157.0,36.0,-3.3549846003,-39.3955556037,ESTRADA SEM NOME,F,cvli,FEMINICÍDIO,,,Segunda-feira,False,False,,,1.0,FEMINICÍDIO
2.0,6.0,,,AMADEU FURTADO,Fortaleza,,Sim,2026-05-11,,,,09:52:39,78628,4427546.0,,-3.7314769551,-38.5952886386,RUA XXIX,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA
2.0,8.0,,,AMADEU FURTADO,Fortaleza,,Sim,2026-05-11,,,,09:28:40,78636,4427544.0,,-3.7158977219,-38.5978701969,AVENIDA AMBIENTALISTA ARY THIERS,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA
2.0,4.0,,,AMADEU FURTADO,Fortaleza,,Sim,2026-05-11,,,,09:17:14,78635,4427543.0,,-3.7182562117,-38.5575766555,AVENIDA TENENTE LISBOA,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA
2.0,1.0,,,ALDEOTA,Fortaleza,,Sim,2026-05-11,,,,06:20:14,78517,4426786.0,,-3.7253167387,-38.4995736695,AVENIDA BEIRA MAR,NAN,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA
2.0,1.0,,,ALDEOTA,Fortaleza,,Sim,2026-05-11,,,,06:20:14,78634,4427540.0,,-3.7253167387,-38.4995736695,AVENIDA BEIRA MAR,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA
2.0,16.0,,,,Crateús,,Sim,2026-05-11,,,,05:40:39,78515,4426812.0,,-5.1757406944,-40.667004955,RUA CORONEL LÚCIO,NAN,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA
2.0,16.0,,,,Crateús,,Sim,2026-05-11,,,,05:40:39,78637,4427586.0,,-5.1757406944,-40.667004955,RUA CORONEL LÚCIO,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA
