micronodo,area_oficial,faction,lat,long
Aldeia Park,PACAJUS,CV,-4.183104,-38.461432
Planalto Popular,PACAJUS,CV,-4.176959,-38.455135
Cruz das Almas,PACAJUS,CV,-4.1711,-38.460453
Croata I,PACAJUS,CV,-4.167761,-38.455396
Cavalaria,PACAJUS,CV,-4.176193,-38.522041
Bairro Limoeiro,HORIZONTE,CV,-4.160212,-38.427136
Mangabeira,HORIZONTE,CV,-4.15434,-38.403513
Itaipaba,ACARAPE,CV,-4.180908,-38.585865
Pascoal,PACAJUS,CV,-4.221024,-38.574117
Cidade de Caridade,CARIDADE,CV,-4.233338,-39.200131
Comunidade da Baixada,EDSON QUEIROZ,CV,-3.770156,-38.47113
Comunidade do Rato,JARDIM CEARENSE,CV,-3.806028,-38.563659
Comunidade Alto da Paz,JARDIM CEARENSE,CV,-3.805126,-38.56171
Itaperi,ITAPERI,CV,-3.810263,-38.562921
Comunidade Barracal,JARDIM CEARENSE,CV,-3.803949,-38.569503
Vila Nova - Parangaba,PARANGABA,CV,-3.77843,-38.566005
Marechal Benfica,BENFICA,CV,-3.740252,-38.537638
Baixada- Otávio Bonfim,PARQUE ARAXÁ,CV,-3.73445,-38.546978
Lagoa Seca de Maraponga,MARAPONGA,CV,-3.789153,-38.562591
Buraco da Gia- Benfica,BENFICA,CV,-3.736619,-38.538367
Itaoca,ITAOCA,CV,-3.774584,-38.558632
Área Verde,PARQUE ALBANO,CV,-3.753625,-38.608773
Cidade de Acarape,ACARAPE,CV,-4.216411,-38.707605
Irauçuba,IRAUÇUBA,CV,-3.744463,-39.794197
Alto Luminoso,PINDORETAMA,CV,-4.141176,-38.251901
Bessalandia,PINDORETAMA,CV,-4.128251,-38.244396
Cohab de Cascavel,PINDORETAMA,CV,-4.138993,-38.235033
Lotemenento Espaço Nobre,PINDORETAMA,CV,-4.112592,-38.246564
Mataquiri,PINDORETAMA,CV,-4.113575,-38.264234
Coaçu,COAÇU,CV,-4.119026,-38.225183
Rio Novo,PINDORETAMA,CV,-4.132864,-38.246483
Vila Pacheco,PINDORETAMA,CV,-4.118388,-38.246788
Araras,PIRES FERREIRA,CV,-4.190795,-40.482867
Tijucussu 1,PINDORETAMA,CV,-4.079018,-38.26225
Planalto - Cascavel,PINDORETAMA,CV,-4.118388,-38.246788
Barra Nova,PINDORETAMA,CV,-4.101654,-38.155749
Bairro Emprestimos,PIRES FERREIRA,CV,-4.185006,-40.495565
Cidade de Reriutaba,RERIUTABA,CV,-4.13821,-40.58738
Santa Quitéria,SANTA QUITÉRIA,CV,-4.323045,-40.146987
Cidade de Catunda,CATUNDA,CV,-4.64186,-40.204778
Cidade de Nova Russas,NOVA RUSSAS,CV,-4.700031,-40.568218
Cidade de Tejuçuoca,TEJUÇUOCA,CV,-3.986881,-39.58476
15 de Novembro,PENTECOSTE,CV,-3.795163,-39.262359
Vila de Jericoacoara,JIJOCA DE JERICOACOARA,CV,-2.796464,-40.518385
Preá,JIJOCA DE JERICOACOARA,CV,-2.811965,-40.4224
Morgado,CRUZ,CV,-2.823669,-40.27965
Pedras,PEDRAS,CV,-3.880418,-38.503918
Encantada,COAÇU,CV,-3.84627,-38.455834
Comunidade Bragança,GRANJA PORTUGAL,CV,-3.774534,-38.597021
Comunidade da Mata- João XXIII,JOÃO XXIII,CV,-3.764637,-38.594128
Samambaia Bonsucesso,JOÃO XXIII,CV,-3.771374,-38.594091
Sem Terra- João XXIII,JÓQUEI CLUBE,CV,-3.769277,-38.573508
Comunidade Caramuru,ITAPERI,CV,-3.794595,-38.545014
Beco da Reta Velha,PANAMERICANO,CV,-3.756173,-38.570154
Comunidade dos Trilhos,DAMAS,CV,-3.750931,-38.55089
Comunidade da Tieta,MONTESE,CV,-3.767087,-38.548442
Vila Azul,ITAOCA,CV,-3.771647,-38.554211
Distrito de Iratinga,ITAPAJÉ,CV,-3.733978,-39.551576
Tangueira,MARACANAÚ,CV,-3.894359,-38.68015
Parque São João,MARACANAÚ,CV,-3.901225,-38.679223
Lages,MARANGUAPE,CV,-4.012789,-38.716231
Outra Banda,MARACANAÚ,CV,-3.882821,-38.682406
Condomínio da Santa,MARACANAÚ,CV,-3.87396,-38.679663
