w_ewma,w_lgbm,w_hist,w_target,p10,p20,r10,r20
0.0,0.3,0.1,0.6,0.17790697674418604,0.11511627906976744,0.4441306755260243,0.5413205980066444
0.0,0.2,0.5,0.3,0.17790697674418604,0.11511627906976744,0.4441306755260243,0.533001107419712
0.0,0.3,0.3,0.4,0.17790697674418604,0.11395348837209306,0.4441306755260243,0.5388981173864895
0.0,0.3,0.7,0.0,0.17790697674418604,0.11395348837209306,0.4441306755260243,0.5364756367663344
0.0,0.2,0.0,0.8,0.17790697674418604,0.11395348837209303,0.4441306755260243,0.5359911406423035
0.0,0.2,0.2,0.6,0.17790697674418604,0.11337209302325583,0.4441306755260243,0.5345376522702103
0.0,0.3,0.4,0.3,0.17790697674418604,0.11279069767441861,0.4441306755260243,0.5352990033222591
0.0,0.2,0.1,0.7,0.17790697674418604,0.11279069767441861,0.4441306755260243,0.5333610188261351
0.0,0.3,0.5,0.2,0.17790697674418604,0.11162790697674423,0.4441306755260243,0.529485049833887
0.0,0.3,0.6,0.1,0.17790697674418604,0.11162790697674423,0.4441306755260243,0.529485049833887
0.0,0.0,0.0,1.0,0.17790697674418604,0.11046511627906978,0.4441306755260243,0.5165143964562569
0.0,0.0,0.1,0.9,0.17790697674418604,0.11046511627906978,0.4441306755260243,0.5165143964562569
0.0,0.0,0.2,0.8,0.17790697674418604,0.11046511627906978,0.4441306755260243,0.5165143964562569
0.2,0.3,0.0,0.5,0.1755813953488372,0.13953488372093026,0.4363787375415283,0.6345653377630122
0.1,0.4,0.2,0.3,0.17558139534883718,0.13372093023255816,0.43947951273532665,0.6163344407530453
0.1,0.4,0.3,0.2,0.17558139534883718,0.13372093023255816,0.43947951273532665,0.614784053156146
0.1,0.4,0.0,0.5,0.17558139534883718,0.13313953488372093,0.43947951273532665,0.6150609080841639
0.1,0.4,0.1,0.4,0.17558139534883718,0.13139534883720932,0.43947951273532665,0.6076965669988925
0.1,0.4,0.4,0.1,0.17558139534883718,0.13139534883720932,0.43947951273532665,0.6008305647840531
0.1,0.4,0.5,0.0,0.17558139534883718,0.1302325581395349,0.43947951273532665,0.5946290143964562
0.2,0.5,0.2,0.1,0.17441860465116277,0.14011627906976742,0.4371539313399779,0.6417220376522702
0.2,0.5,0.3,0.0,0.17441860465116277,0.14011627906976742,0.4371539313399779,0.6410575858250277
0.2,0.4,0.0,0.4,0.17441860465116277,0.13779069767441865,0.43347176079734223,0.6294158361018827
0.2,0.6,0.2,0.0,0.17325581395348835,0.14011627906976742,0.4342469545957918,0.6414451827242525
0.2,0.5,0.1,0.2,0.17325581395348835,0.13953488372093026,0.43327796234772986,0.6363925802879291
0.1,0.5,0.3,0.1,0.17325581395348835,0.1325581395348837,0.4342469545957918,0.610797342192691
0.1,0.5,0.4,0.0,0.17325581395348835,0.1325581395348837,0.4342469545957918,0.6101328903654484
0.1,0.5,0.2,0.2,0.17325581395348835,0.13197674418604652,0.4342469545957918,0.6084717607973421
0.1,0.5,0.0,0.4,0.17325581395348835,0.1313953488372093,0.4342469545957918,0.6075027685492802
0.1,0.5,0.1,0.3,0.17325581395348835,0.1308139534883721,0.4342469545957918,0.6042081949058692
0.0,0.4,0.4,0.2,0.17325581395348835,0.11918604651162792,0.4342469545957918,0.5570321151716499
0.0,0.4,0.3,0.3,0.17325581395348835,0.11686046511627908,0.4342469545957918,0.5490725359911406
0.0,0.4,0.5,0.1,0.17325581395348835,0.11627906976744189,0.4342469545957918,0.5481035437430785
0.0,0.4,0.2,0.4,0.17325581395348835,0.11569767441860467,0.4342469545957918,0.5451965669988925
0.0,0.4,0.6,0.0,0.17325581395348835,0.11511627906976747,0.4342469545957918,0.5425664451827241
0.0,0.4,0.1,0.5,0.17325581395348835,0.11511627906976744,0.4342469545957918,0.5435354374307863
0.0,0.4,0.0,0.6,0.17325581395348835,0.11453488372093022,0.4342469545957918,0.5411129568106311
0.2,0.6,0.1,0.1,0.17209302325581394,0.13953488372093023,0.4303709856035438,0.6391888150609081
0.1,0.6,0.3,0.0,0.17209302325581394,0.13197674418604652,0.4303709856035438,0.6084717607973421
0.1,0.6,0.2,0.1,0.17209302325581394,0.13139534883720932,0.4303709856035438,0.6065337763012181
