source,date,lat,lon,bairro_assigned,bairro_text
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-6.7649446,-38.9907267,,Zona Rural
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-3.8092952,-38.6056361,,Canindezinho
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-4.3286135,-38.8784256,,Candeias
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-7.2209962,-39.3151914,,Santa Tereza
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-3.8917179,-38.6841257,,Novo Maranguape
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-3.7284271,-38.6546265,,Itambé I
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-5.0794189,-37.9913909,,Pontal
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-5.1789801,-40.6640577,,São Vicente
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-3.608019,-38.9678185,,Centro
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-3.8629186,-40.9147999,,Zona Rural
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-3.426164,-39.038889,,Maleitas
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-5.2462655,-38.1274501,,Água Suja
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-5.1267435,-39.7271884,,CEAC
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-3.7510027,-38.6155862,,São Miguel
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-3.6682085,-40.3776642,,Caiçara
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-4.6997618,-37.4104911,,Serra do Mar
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-7.2209241,-39.313363,,Pirajá
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-7.229298,-39.4126975,,Centro
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-3.4245863,-39.1632715,,Bairro D2
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-4.0602615,-39.4315042,,Jatobá II
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-4.9821652,-39.371272,,Zona Rural
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-7.3091627,-39.3035634,,Centro
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-4.1318225,-38.2373805,,Parque Juarez Queiroz
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-4.0406014,-38.2004234,CEARÁ,Caponga
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-3.7465021,-39.7874746,,Bairro da Esperança
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-5.305725,-38.920089,,Centro
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-3.6904691,-40.323936,,Belchior
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-5.0475331,-39.8481442,,Centro
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-7.2300497,-39.401759,,São Miguel
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-3.7725488,-38.6120873,,Conjunto Ceará
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-7.2466524,-39.3382174,,Frei Damião
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-3.8272964,-40.2391476,,Cidade De Deus
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-3.6852623,-40.3391908,,Pedrinhas
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-3.7352059,-38.5654322,,Mutirão
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-3.6890005,-38.6608421,,Jardim Icarai
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-4.3777736,-38.9893712,,Zona Rural
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-5.1811713,-39.2495009,,Zona Rural
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-3.5022117,-40.1917655,,Zona Rural
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-4.2291405,-38.9207458,,Centro
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-2.9510339,-39.800351,,Zona Rural
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-4.9880299,-39.173709,,Zona Rural
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-3.6761369,-40.3742588,,Zona Urbana
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-3.8690407,-38.4955368,,Centro
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-4.711414,-40.5207244,,Jovinão
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-3.8306792,-38.5880414,,Aracapé
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-3.7418537,-38.5296364,,Fátima
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-3.9122025,-38.3580416,,Piau
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-3.6989099,-38.5861584,,Barra Do Ceará
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-3.8704093,-38.584066,,Gererau
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-4.2489906,-38.7620236,,Santo Antônio
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-3.7480509,-38.6010961,,São Miguel
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-4.2023384,-38.1136802,,Carrapicho
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-4.9771815,-39.0171909,,Putiú
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-6.998734,-39.3736091,,Zona Rural
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-3.23097,-40.1205701,,Sítio Alegre
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-3.7435148,-38.6698583,,Padre Julio María
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-5.7407148,-39.62773,,Centro
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-3.7789238,-38.5049241,,Jardim Das Oliveiras
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-4.8452537,-37.8340832,,Zona Rural
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-6.7539391,-38.9307751,,Padre Cícero
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-3.1599125,-39.795335,,Setor E
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-4.8437391,-37.7894913,,Dió
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-4.9891132,-38.4992921,,Bela Vista
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-3.2734055,-41.1791331,,Centro
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-6.9410012,-38.9711071,,Araçá
data_with_coordinates.js,2025-01-10T03:00:00.000Z,-4.8520369,-39.5746425,,Alto da Alegria
data_with_coordinates.js,2025-01-11T03:00:00.000Z,-3.8184724,-38.569933,,Barra do Ceará
data_with_coordinates.js,2025-01-11T03:00:00.000Z,-3.7170883,-38.5539508,,Carlito Pamplona
data_with_coordinates.js,2025-01-11T03:00:00.000Z,-3.6854581,-40.3537396,,Expectativa
data_with_coordinates.js,2025-01-11T03:00:00.000Z,-3.7536134,-38.5691801,,Pici
data_with_coordinates.js,2025-01-11T03:00:00.000Z,-7.2418311,-39.4109373,,Alto da Penha
data_with_coordinates.js,2025-01-11T03:00:00.000Z,-4.1289907,-38.2359982,,Malvina
data_with_coordinates.js,2025-01-11T03:00:00.000Z,-4.355745,-38.0310165,,Palmeira
data_with_coordinates.js,2025-01-11T03:00:00.000Z,-3.2826789,-40.9592712,,Zona Rural
data_with_coordinates.js,2025-01-11T03:00:00.000Z,-6.4026761,-38.8595906,,Centro
data_with_coordinates.js,2025-01-11T03:00:00.000Z,-3.2824508,-39.8330331,,Zona Rural
data_with_coordinates.js,2025-01-11T03:00:00.000Z,-6.3250104,-39.310623,,Varjota
data_with_coordinates.js,2025-01-11T03:00:00.000Z,-7.0283285,-39.2902662,,Zona Rural
data_with_coordinates.js,2025-01-11T03:00:00.000Z,-4.0378832,-40.8613971,,Cidade Alta
data_with_coordinates.js,2025-01-11T03:00:00.000Z,-4.9619988,-39.0059016,,Campo Velho
data_with_coordinates.js,2025-01-11T03:00:00.000Z,-6.3706737,-39.2978578,,Santo Antônio
data_with_coordinates.js,2025-01-11T03:00:00.000Z,-4.0700461,-38.2919615,,Cajueiro do Ministro
data_with_coordinates.js,2025-01-11T03:00:00.000Z,-7.2487977,-39.1385006,,Centro
data_with_coordinates.js,2025-01-11T03:00:00.000Z,-4.0372886,-38.2717712,,Conjunto Habitacional
data_with_coordinates.js,2025-01-11T03:00:00.000Z,-7.2286042,-39.4171031,,Seminário
data_with_coordinates.js,2025-01-11T03:00:00.000Z,-3.7469525,-38.6569398,,Cigana
