id,data,bairro_assigned,cidade_norm,latitude,longitude,tipo,tipo_evento
9998,2025-04-09,Messejana,fortaleza,-3.8196137711,-38.4949353174,cvli,HOMICIDIO DOLOSO
10002,2025-04-09,Canindezinho,fortaleza,-3.8075482473,-38.5943474031,cvli,HOMICIDIO DOLOSO
10003,2025-04-09,Canindezinho,fortaleza,-3.8086079213,-38.5952708473,cvli,HOMICIDIO DOLOSO
10005,2025-04-09,Couto Fernandes,fortaleza,-3.7580018443,-38.5609756192,cvli,HOMICIDIO DOLOSO
10008,2025-04-09,Vila Velha,fortaleza,-3.7123778796,-38.6052512352,cvli,HOMICIDIO DOLOSO
10023,2025-04-12,Boa Vista/Castelão,fortaleza,-3.8016482543,-38.525893994,cvli,HOMICIDIO DOLOSO
10024,2025-04-12,Pedras,fortaleza,-3.8869889084,-38.5214116713,cvli,HOMICIDIO DOLOSO
10028,2025-04-12,Barroso,fortaleza,-3.815164381,-38.5097166462,cvli,HOMICIDIO DOLOSO
10030,2025-04-12,Vila Velha,fortaleza,-3.7188986713,-38.6066494054,cvli,HOMICIDIO DOLOSO
10031,2025-04-12,Vila Velha,fortaleza,-3.7188986713,-38.6066494054,cvli,HOMICIDIO DOLOSO
10032,2025-04-12,Papicu,fortaleza,-3.7459770819,-38.4651876892,cvli,HOMICIDIO DOLOSO
10033,2025-04-13,Cais Do Porto,fortaleza,-3.7128450836,-38.4652161039,cvli,LESAO CORPORAL SEGUIDA DE MORTE
10040,2025-04-13,Jangurussu,fortaleza,-3.8324652816,-38.5260086615,cvli,HOMICIDIO DOLOSO
10041,2025-04-14,Carlito Pamplona,fortaleza,-3.7132797647,-38.5508440327,cvli,HOMICIDIO DOLOSO
10044,2025-04-14,Genibaú,fortaleza,-3.7631599905,-38.5951691039,cvli,HOMICIDIO DOLOSO
10047,2025-04-14,Parangaba,fortaleza,-3.7751169569,-38.5670368392,cvli,ROUBO SEGUIDO DE MORTE (LATROCINIO)
10051,2025-04-15,Vila Peri,fortaleza,-3.78941228,-38.5811218327,cvli,HOMICIDIO DOLOSO
10052,2025-04-15,Papicu,fortaleza,-3.7349678781,-38.481655975,cvli,HOMICIDIO DOLOSO
10053,2025-04-15,Jangurussu,fortaleza,-3.854145287,-38.5189103615,cvli,HOMICIDIO DOLOSO
10059,2025-04-16,Jardim Guanabara,fortaleza,-3.7202841468,-38.5903776772,cvli,HOMICIDIO DOLOSO
10065,2025-04-17,Granja Portugal,fortaleza,-3.7880939854,-38.5983377327,cvli,ROUBO SEGUIDO DE MORTE (LATROCINIO)
10067,2025-04-18,José Bonifácio,fortaleza,-3.7352012615,-38.5296693089,cvli,HOMICIDIO DOLOSO
10069,2025-04-19,Vila Peri,fortaleza,-3.7926949962,-38.5825959343,cvli,HOMICIDIO DOLOSO
10071,2025-04-19,Canindezinho,fortaleza,-3.8115375962,-38.6001621631,cvli,HOMICIDIO DOLOSO
10076,2025-04-20,Barroso,fortaleza,-3.8246082818,-38.5176861508,cvli,HOMICIDIO DOLOSO
10080,2025-04-20,Cais Do Porto,fortaleza,-3.7113674836,-38.4683869496,cvli,HOMICIDIO DOLOSO
10082,2025-04-20,Cais Do Porto,fortaleza,-3.7189221398,-38.4624951253,cvli,HOMICIDIO DOLOSO
10084,2025-04-20,Barra Do Ceará,fortaleza,-3.6963674832,-38.5838674477,cvli,HOMICIDIO DOLOSO
10087,2025-04-20,Aracapé,fortaleza,-3.8299892913,-38.5872114766,cvli,HOMICIDIO DOLOSO
10091,2025-04-21,Floresta,fortaleza,-3.7195442526,-38.5777097462,cvli,HOMICIDIO DOLOSO
10097,2025-04-23,Canindezinho,fortaleza,-3.8015367909,-38.5937396683,cvli,HOMICIDIO DOLOSO
10101,2025-04-24,Cristo Redentor,fortaleza,-3.7093724609,-38.5684210665,cvli,HOMICIDIO DOLOSO
10105,2025-04-25,Cidade Dos Funcionários,fortaleza,-3.78880728,-38.5070512054,cvli,HOMICIDIO DOLOSO
10109,2025-04-25,Passaré,fortaleza,-3.8094979859,-38.5449491766,cvli,HOMICIDIO DOLOSO
10115,2025-04-26,Padre Andrade,fortaleza,-3.7353671023,-38.5805233054,cvli,HOMICIDIO DOLOSO
10119,2025-04-26,Prefeito José Walter,fortaleza,-3.8225876713,-38.5582927477,cvli,HOMICIDIO DOLOSO
10120,2025-04-27,Quintino Cunha,fortaleza,-3.7313247597,-38.5958255477,cvli,HOMICIDIO DOLOSO
10121,2025-04-27,Genibaú,fortaleza,-3.7606646325,-38.6004053835,cvli,HOMICIDIO DOLOSO
10125,2025-04-28,Cristo Redentor,fortaleza,-3.706322961,-38.5699831971,cvli,HOMICIDIO DOLOSO
10131,2025-04-28,Mondubim,fortaleza,-3.8224089833,-38.5640834078,cvli,HOMICIDIO DOLOSO
10135,2025-04-29,Barra Do Ceará,fortaleza,-3.7075864707,-38.5800710039,cvli,HOMICIDIO DOLOSO
10142,2025-04-30,Engenheiro Luciano Cavalcante,fortaleza,-3.7759717851,-38.4820249054,cvli,HOMICIDIO DOLOSO
10151,2025-05-01,Conjunto Ceará Ii,fortaleza,-3.7758011795,-38.6111325615,cvli,HOMICIDIO DOLOSO
10158,2025-05-01,Barra Do Ceará,fortaleza,-3.6984116259,-38.576348768,cvli,HOMICIDIO DOLOSO
10159,2025-05-01,Barra Do Ceará,fortaleza,-3.6984116259,-38.576348768,cvli,HOMICIDIO DOLOSO
10164,2025-05-02,Cristo Redentor,fortaleza,-3.7067422835,-38.5591994631,cvli,HOMICIDIO DOLOSO
10165,2025-05-02,São Gerardo,fortaleza,-3.7255676777,-38.5553259477,cvli,HOMICIDIO DOLOSO
10168,2025-05-02,Ancuri,fortaleza,-3.8614224782,-38.502527875,cvli,HOMICIDIO DOLOSO
10176,2025-05-03,Álvaro Weyne,fortaleza,-3.7145380962,-38.5621055343,cvli,HOMICIDIO DOLOSO
