Controle,Data,Natureza,BairroOcor,bairro_norm,CidadeOcor,total_armas_cache,total_drogas_cache,Dinheiro_Apreendido,lat_ibge,long_ibge
35360,2025-06-08,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Zona Rural,Granja Portugal,Ipueiras,1,0.0,,,
35361,2025-06-08,MARIA DA PENHA - Lei nº 11.340/2006; LESÃO CORPORAL - Art. 129/CPB,Lagoinha,Lagoa Redonda,Beberibe,0,0.0,,,
35362,2025-06-08,APRESENTAÇÃO E APREENSÃO DE VEÍCULO,Cirolândia,Aerolândia,Barbalha,0,3.0,,,
35364,2025-06-08,PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,Vicente Pinzon,Vicente Pinzón,Fortaleza,1,0.0,,,
35365,2025-06-08,APRESENTAÇÃO E APREENSÃO DE DROGAS; APRESENTAÇÃO E APREENSÃO DE MUNIÇÃO; APRESENTAÇÃO E APRRENSÃO DE OBJETOS,Jangurussu,Jangurussu,Fortaleza,0,7.0,,,
35366,2025-06-08,TRÁFICO DE DROGAS,Beira Rio,Vila Peri,Baturité,0,19.61,,,
35367,2025-06-08,MANDADO DE PRISÃO,Siqueira,Siqueira,Fortaleza,0,0.0,,,
35369,2025-06-08,VEÍCULO LOCALIZADO,Sumaré,Passaré,Sobral,0,0.0,,,
35371,2025-06-08,TRÁFICO DE DROGAS,Pernambuquinho,Pirambu,Caririaçu,0,15.0,100.0,,
35372,2025-06-08,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003; TRÁFICO DE DROGAS,Repartidor,Aeroporto,Quixadá,1,4.4,14.0,,
35373,2025-06-09,VEÍCULO LOCALIZADO; ROUBO,Chapadinha,Paupina,Iguatu,0,0.0,,,
35374,2025-06-09,APRESENTAÇÃO E APREENSÃO DE VEÍCULO,Zona Rural,Granja Portugal,Ibiapina,0,0.0,,,
35375,2025-06-09,VEÍCULO LOCALIZADO,Zona Rural,Granja Portugal,Santana do Acaraú,0,0.0,,,
35376,2025-06-09,APRESENTAÇÃO E APREENSÃO DE DROGAS,Parque São José,Parque Săo José,Fortaleza,0,90.0,,,
35377,2025-06-09,TRÁFICO DE DROGAS,Padre Andrade,Padre Andrade,Fortaleza,0,34.0,420.05,,
35378,2025-06-09,APRESENTAÇÃO E APREENSÃO DE VEÍCULO,Zona Rural,Granja Portugal,Pentecoste,0,0.0,,,
35379,2025-06-09,APRESENTAÇÃO E APREENSÃO DE DROGAS,Vila Manuel Sátiro,Manoel Sátiro,Fortaleza,0,39.0,,,
35380,2025-06-09,VEÍCULO LOCALIZADO,São José,Parque Săo José,Morada Nova,0,0.0,,,
35381,2025-06-09,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Zona Rural,Granja Portugal,Lavras da Mangabeira,1,0.0,,,
35382,2025-06-09,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Zona Rural,Granja Portugal,Icó,1,0.0,,,
35383,2025-06-09,FURTO - Art. 155/CPB,Barateiro,Barroso,Itapajé,0,0.0,,,
35384,2025-06-09,VEÍCULO LOCALIZADO,Barra do Ceará,Barra Do Ceará,Fortaleza,0,0.0,,,
35385,2025-06-09,RECEPTAÇÃO - Art. 180/CPB,Centro,Centro,Itaitinga,0,0.0,,,
35386,2025-06-09,DIRIGIR VEÍCULO AUTOMOTOR SEM HABILITAÇÃO - Art. 309/CTB,Barra Nova,Barra Do Ceará,Cascavel,0,0.0,,,
35387,2025-06-09,DIREÇÃO PERIGOSA - Art.175/CTB,Centro,Centro,Crato,0,0.0,,,
35388,2025-06-09,APRESENTAÇÃO E APREENSÃO DE DROGAS,Pavuna,Paupina,Pacatuba,0,14.0,,,
35391,2025-06-09,"POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003; TRÁFICO DE DROGAS; TENTATIVA DE HOMICIDIO - Art. 121 c/c Art. 14, II/CPB",Mamoeiro,Manoel Sátiro,Fortim,1,40.0,,,
35392,2025-06-09,VEÍCULO LOCALIZADO,Granja Lisboa,Granja Lisboa,Fortaleza,0,0.0,,,
35393,2025-06-09,MANDADO DE PRISÃO,Centro,Centro,Sobral,0,0.0,,,
35394,2025-06-09,PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,Cruzeiro do Brandão,Manuel Dias Branco,Jijoca de Jericoacoara,1,0.0,,,
35396,2025-06-10,MANDADO DE PRISÃO,Centro,Centro,Lavras da Mangabeira,0,0.0,,,
35397,2025-06-10,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Zona Rural,Granja Portugal,Caririaçu,1,0.0,,,
35398,2025-06-10,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO; ,Centro,Centro,Sao Benedito,1,0.0,,,
35399,2025-06-10,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Zona Rural,Granja Portugal,Ipueiras,1,0.0,,,
35400,2025-06-10,VEÍCULO LOCALIZADO,Centro,Centro,Ipueiras,0,0.0,,,
35401,2025-06-10,INTERVENÇÃO POLICIAL LETAL; APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Ypiranga,Parangaba,São Benedito,3,0.0,,,
35402,2025-06-10,TRÁFICO DE DROGAS,Rodolfo Teófilo,Rodolfo Teófilo,Fortaleza,0,42.0,,,
35403,2025-06-10,VEÍCULO CLONADO,Damas,Damas,Fortaleza,0,0.0,,,
35404,2025-06-10,TRÁFICO DE DROGAS,Granja Portugal,Granja Portugal,Fortaleza,0,36.0,252.0,,
35405,2025-06-10,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Zona Rural,Granja Portugal,Iguatu,1,0.0,,,
35406,2025-06-10,VEÍCULO LOCALIZADO,Trecho Taua,Precabura,Novo Oriente,0,0.0,,,
35407,2025-06-10,TRÁFICO DE DROGAS,São Luiz,Edson Queiroz,Morrinhos,0,16.3,,,
35408,2025-06-10,CONSUMO DE ENTORPECENTES - Art. 28/Lei nº 11.343/2006,Centro,Centro,Acaraú,0,2.4,3330.0,,
35409,2025-06-10,VEÍCULO LOCALIZADO,Boa Vista,Bela Vista,Paraipaba,0,0.0,,,
35410,2025-06-10,VEÍCULO LOCALIZADO,Bom Jardim,Bom Jardim,Fortaleza,0,0.0,,,
35411,2025-06-10,APRESENTAÇÃO E APREENSÃO DE DROGAS,Taiba,Itaoca,São Gonçalo do Amarante,0,29.0,7.75,,
35412,2025-06-10,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Zona Rural,Granja Portugal,Acaraú,2,0.0,,,
35413,2025-06-10,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Centro,Centro,Quixadá,1,823.0,120.8,,
35414,2025-06-10,VEÍCULO LOCALIZADO,São Francisco 2,São Gerardo,Itapajé,0,0.0,,,
35415,2025-06-10,ADULTERAÇÃO DE VEÍCULO - Art. 311/CPB; VEÍCULO LOCALIZADO,Zona Rural,Granja Portugal,Jaguaribe,0,0.0,,,
35416,2025-06-10,TRÁFICO DE DROGAS,Metrópole Sul,Meireles,Caucaia,0,16.0,,,
35417,2025-06-10,TRÁFICO DE DROGAS,Pici,Pici,Fortaleza,0,0.0,98.0,,
35418,2025-06-10,TRÁFICO DE DROGAS; POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,Zona Rural,Granja Portugal,Jaguaruana,1,160.0,,,
35419,2025-06-10,PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,Planalto Airton Senna,Planalto Ayrton Senna,Fortaleza,1,0.0,,,
35420,2025-06-10,VEÍCULO LOCALIZADO,Luciano Cavalcante,Engenheiro Luciano Cavalcante,Fortaleza,0,0.0,,,
35422,2025-06-10,ADULTERAÇÃO DE VEÍCULO - Art. 311/CPB,Fátima,Fátima,Cedro,0,0.0,,,
35424,2025-06-10,TRÁFICO DE DROGAS,Multirão,Manoel Sátiro,Barreira,0,145.0,,,
35425,2025-06-11,ROUBO; PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,Parque Jerusalém,Parque Săo José,Fortaleza,1,0.0,,,
35427,2025-06-11,TRÁFICO DE DROGAS,Cais do Porto,Cais Do Porto,Fortaleza,0,84.0,100.0,,
35428,2025-06-11,APRESENTAÇÃO E APREENSÃO DE DROGAS,Barra do Ceará,Barra Do Ceará,Fortaleza,0,62.0,,,
