agencia,ais,area_faccao,arma,bairro,cidade,comment,consolidado,data,database,editar,excluir,hora,id,id_evento,idade,latitude,longitude,name,sexo,tipo,tipo_evento,type,version,dia_semana,eh_feriado,dia_quente_cvp,clima,precipitacao_mm,qtd_mortes,nature,ais_original,regiao_risp
2.0,AIS 21,,,ENGENHEIRO LUCIANO CAVALCANTE,Fortaleza,,Sim,2026-05-01,,,,23:10:29,78289,4424321.0,,-3.7771057186,-38.4837388043,RUA FILADÉLFIA,NONE,cvp,ROUBO A PESSOA,,,Sexta-feira,True,True,,,,ROUBO A PESSOA,AIS 21,CAPITAL LESTE
2.0,AIS 18,,,CENTRO,Fortaleza,,Sim,2026-05-01,,,,17:33:21,78288,4424319.0,,-3.724999559,-38.5371569565,RUA PADRE MORORÓ,NONE,cvp,ROUBO A PESSOA,,,Sexta-feira,True,True,,,,ROUBO A PESSOA,AIS 05,CAPITAL OESTE
2.0,AIS 19,,,PRAIA DO FUTURO I,Fortaleza,,Sim,2026-05-01,,,,00:13:23,78287,4424311.0,,-3.7489035859,-38.4467844138,AVENIDA CLÓVIS ARRAIS MAIA,NONE,cvp,ROUBO A PESSOA,,,Sexta-feira,True,True,,,,ROUBO A PESSOA,AIS 08,CAPITAL LESTE
2.0,AIS 05,,,VILA UNIĂO,Fortaleza,,Sim,2026-05-01,,,,21:53:20,78286,4424320.0,,-3.7681618652,-38.53973641,RUA SÃO MATEUS,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Sexta-feira,True,True,,,,ROUBO A ESTABELECIMENTO COMERCIAL,AIS 21,CAPITAL OESTE
2.0,AIS 12,,,INDUSTRIAL,Maracanaú,,Sim,2026-05-01,,,,17:58:22,78285,4424359.0,,-3.8731355768,-38.6268209339,RUA RAIMUNDO VASCONCELOS ALBUQUERQUE,NONE,cvp,ROUBO A PESSOA,,,Sexta-feira,True,True,,,,ROUBO A PESSOA,AIS 12,RMF OESTE
2.0,AIS 05,,,COUTO FERNANDES,Fortaleza,,Sim,2026-04-30,,,,21:15:30,78284,4425562.0,,-3.7597140595,-38.5636635641,RUA JOSÉ BASTOS,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,True,,,,ROUBO A PESSOA,AIS 05,CAPITAL OESTE
2.0,AIS 08,,,PRAIA DE IRACEMA,Fortaleza,,Sim,2026-04-30,,,,15:21:08,78283,4425554.0,,-3.7202113952,-38.5175467416,BECO DOS POTIGUARAS,NONE,cvp,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE,,,Quinta-feira,False,True,,,,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE,AIS 08,CAPITAL LESTE
2.0,AIS 06,,,JÓQUEI CLUBE,Fortaleza,,Sim,2026-04-30,,,,10:52:05,78282,4425547.0,,-3.7605330748,-38.5742925592,AVENIDA CARNEIRO DE MENDONÇA,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,True,,,,ROUBO A PESSOA,AIS 05,CAPITAL OESTE
2.0,AIS 06,,,AMADEU FURTADO,Fortaleza,,Sim,2026-04-30,,,,10:40:30,78281,4425546.0,,-3.7415373651,-38.5590605651,RUA ABÍLIO MARTINS,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,True,,,,ROUBO A PESSOA,AIS 05,CAPITAL OESTE
2.0,AIS 16,,,MESSEJANA,Fortaleza,,Sim,2026-04-30,,,,21:10:23,78280,4425561.0,,-3.8323006399,-38.4934627566,RUA TENENTE JURANDIR ALENCAR,NONE,cvp,ROUBO A FARMÁCIA,,,Quinta-feira,False,True,,,,ROUBO A FARMÁCIA,AIS 16,CAPITAL LESTE
2.0,AIS 05,,,JARDIM AMÉRICA,Fortaleza,,Sim,2026-04-30,,,,16:06:14,78279,4425555.0,,-3.7563534961,-38.5426881835,RUA ALBERTO MAGNO,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Quinta-feira,False,True,,,,ROUBO A ESTABELECIMENTO COMERCIAL,AIS 21,CAPITAL OESTE
2.0,,,,DENDÊ,Fortaleza,,Sim,2026-04-30,,,,15:13:22,78278,4425553.0,,-3.7970378885,-38.5623055262,RUA HOLANDA,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,True,,,,ROUBO A PESSOA,AIS 05,
2.0,AIS 08,,,ALDEOTA,Fortaleza,,Sim,2026-04-30,,,,17:35:21,78277,4425556.0,,-3.7353834925,-38.5009749802,AVENIDA SANTOS DUMONT,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Quinta-feira,False,True,,,,ROUBO A ESTABELECIMENTO COMERCIAL,AIS 21,CAPITAL LESTE
2.0,AIS 21,,,PARQUE MANIBURA,Fortaleza,,Sim,2026-04-30,,,,11:47:59,78276,4425549.0,,-3.795145644,-38.4898433765,RUA PADRE JANUÁRIO CAMPOS,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,True,,,,ROUBO A PESSOA,AIS 21,CAPITAL OESTE
