micronodo,area_oficial,faction,lat,long,cvli_count_500m,cvli_count_1km,cvli_count_2km,cvli_count_total
Alto de Santa Rita- Redenção,REDENÇÃO,CV,-4.221691,-38.73041709337875,8,8,8,10
Aerolândia,AEROLÂNDIA,CV,-3.7743735,-38.514299677311,8,8,8,8
Mangueirinha,CURIÓ,MASSA,-3.8235105,-38.4762269499836,8,8,8,8
Comunidade do Multirão- Paranguaba,PARANGABA,CV,-3.778555,-38.57594556502242,6,8,8,8
Pracinha- Piedade,JOAQUIM TÁVORA,CV,-3.7462385,-38.51821411717216,8,8,8,8
Vila Xexeu,PINDORETAMA,CV,-4.130992,-38.25102572791065,8,8,8,8
Rocinha,EDSON QUEIROZ,CV,-3.7764055,-38.47603391739528,0,8,8,8
Primavera,CAUCAIA,CV,-3.7117185,-38.82556285559453,8,8,9,11
Área Verde,PARQUE ALBANO,CV,-3.7561115,-38.61021840230728,8,8,8,8
Beco da Saudade,BOM JARDIM,CV,-3.797102,-38.59941574347826,8,8,8,8
Irauçuba,IRAUÇUBA,CV,-3.7505045,-39.78109696402983,5,8,13,20
Santa Fé,PARQUE SOLEDADE,CV,-3.705271,-38.66748610053763,4,8,8,8
Parque Das Nações ,PARQUE DAS NAÇÕES,CV,-3.7440645,-38.60799204595581,8,8,8,8
CIDADE ALTA - LIMOEIRO DO NORTE,LIMOEIRO DO NORTE,CV,-5.1505315,-38.13947503479308,6,8,9,9
Santa Luzia,SALITRE,CV,-7.077426,-40.37585993584071,7,8,8,8
Novo Crato,CRATO,CV,-7.2360935,-39.42447541424039,7,8,8,8
Favela do Rato ou Rua Luís Fabianl,CANINDÉ,CV,-4.360678500000001,-39.32286902274591,8,8,8,8
Caixa D’água ,LAGOA REDONDA,CV,-3.8311375,-38.46553716684948,8,8,8,8
Beco do Boi,PASSARÉ,CV,-3.8233495,-38.533404525813694,6,8,8,8
Cidade de Acarape,ACARAPE,CV,-4.2199635,-38.70394809856376,2,8,10,19
Mutirão ,PARQUE DOIS IRMĂOS,CV,-3.8117215,-38.556195351902176,8,8,8,8
Rua Larga,FARIAS BRITO,CV,-3.729118,-38.54338224832215,8,8,8,8
Pico da Esperança ,SOBRAL,CV,-3.808454,-40.2666490390625,8,8,8,8
Jabuti - Eusébio ,PEDRAS,CV,-3.9294195,-38.50409998534511,5,8,8,8
Papoco- Montese,ITAOCA,CV,-3.7704995,-38.55885393164933,8,8,8,8
Bairro Ellery,ELLERY,CV,-3.7216025,-38.56292497046123,8,8,8,8
Vilinha B2,PASSARÉ,CV,-3.80967,-38.52623559452202,4,8,8,8
Planalto Caucaia,PARQUE SOLEDADE,CV,-3.743526,-38.66667115788462,8,8,8,8
11 De Novembro,LAGOA REDONDA,CV,-3.828773,-38.46478618793887,8,8,8,8
Favela Do Pó,LAGOA REDONDA,CV,-3.8272685,-38.46303159514332,8,8,8,8
Beco do Jucá,EDSON QUEIROZ,CV,-3.7700975,-38.47348800444356,8,8,8,8
Vila Cazé,PARQUE SOLEDADE,CV,-3.7361775,-38.665184123563336,8,8,8,8
Choró,CHORÓ,CV,-4.845154,-39.135427809555566,7,8,12,23
Guajiru,IPARANA,CV,-3.7007845,-38.64464091028162,8,8,8,8
Conjunto Ceará,CONJUNTO CEARÁ II,CV,-3.7708485,-38.60550079009525,6,8,8,8
Comunidade João XXIII,JOÃO XXIII,CV,-3.7727585,-38.58459347751392,6,8,8,8
Distrito de Serrota,APUIARÉS,CV,-3.85867,-39.3386060571321,8,8,9,13
Comunidade da Senzala,CAIS DO PORTO,CV,-3.717078,-38.46406524085274,8,8,8,8
Cidade de Catunda,CATUNDA,CV,-4.6491105,-40.199265222473606,6,8,8,11
Pedras,PEDRAS,CV,-3.8843175,-38.5077171820208,2,8,8,8
Proafa - Complexo Do Vicente Pizon ,VICENTE PINZÓN,CV,-3.7238475,-38.46800700953999,8,8,8,8
Encantada,COAÇU,CV,-3.8505945,-38.45307104429304,4,8,8,8
Comunidade do Titanzinho,CAIS DO PORTO,CV,-3.712448,-38.465820871428576,8,8,8,8
Pacheco,IPARANA,CV,-3.6903235,-38.63837649834336,2,8,8,8
São Francisco - Trairí ,TRAIRI,CV,-3.2849935,-39.26447287363391,7,8,8,8
Jurema,MARECHAL RONDON,CV,-3.7724155,-38.62037484704124,8,8,8,8
CR,GRANJA LISBOA,CV,-3.7862825,-38.62940749888722,6,8,8,8
Bulandeira ,BATURITÉ,CV,-4.378724500000001,-38.815426616633175,8,8,14,16
Socorro,JUAZEIRO DO NORTE,CV,-7.2039135000000005,-39.32303248665326,6,8,8,8
Favela Do Gás ,CANINDÉ,CV,-4.3622245,-39.31013540793056,8,8,8,8
CPP - COMUNIDADE COMANDO DOS PIVETES PIRADOS OU HIPERCRÉDITO,PARQUE SĂO JOSÉ,CV,-3.79834565,-38.58565136850986,8,8,8,8
GH (Marechal Rondon),MARECHAL RONDON,CV,-3.7751745,-38.6254296689847,8,8,8,8
Comunidade dos Indios - Passaré,SERRINHA,CV,-3.7924705,-38.539893866362505,2,8,8,8
Comunidade Do TA,JOÃO XXIII,CV,-3.7715465,-38.59686671883289,6,8,8,8
Comunidade do S,PAUPINA,CV,-3.8678135,-38.49431537195903,8,8,8,8
Favela Do Japão ,PRAIA DE IRACEMA,CV,-3.7252385,-38.51104754648014,6,8,8,8
Alto Da Paz (Complexo do Vicente Pinzon),VICENTE PINZÓN,CV,-3.723533,-38.4718124390554,8,8,8,8
Morro Do Farol - Complexo Do Vicente Pizon,VICENTE PINZÓN,CV,-3.726578,-38.47272679937058,8,8,8,8
Comunidade dos Canos - (Complexo do Vincent Pinzon),MUCURIPE,CV,-3.7271425,-38.47837365042194,8,8,8,8
Canal da Mancha,JARDIM AMÉRICA,CV,-3.748972,-38.543375232689485,8,8,8,8
Comunidade Mutirão,GRANJA LISBOA,CV,-3.7962815,-38.61430638067171,8,8,8,8
30 de Abril,BOA VISTA/CASTELÃO,CV,-3.8015315,-38.5219529748739,8,8,8,8
Rua do Arame,TIANGUA,PCC,-3.730878,-41.00611513215031,8,8,8,8
Baixa da Raposa,JUAZEIRO DO NORTE,PCC,-7.260709999999999,-39.33485335313878,4,8,11,12
Lameiro,CRATO,PCC,-7.2533395,-39.450745005763096,4,8,9,9
COMUNIDADE BACIA SECA,MANOEL SÁTIRO,CV,-3.7984503,-38.581959712694825,8,8,8,8
Comunidade da GDD,NOVO MONDUBIM,CV,-3.8047615,-38.58509213038308,8,8,8,8
Canal da Jurema,MARECHAL RONDON,CV,-3.7758845,-38.62448961531365,8,8,8,8
Comunidade do gato morto - Sobral,MERUOCA,CV,-3.67426,-40.37499016380839,8,8,8,8
